delay_id,flight_id,delay_type,delay_type_id,delay_minutes
203,2240,Air Traffic Control,1,212
204,1695,Weather,5,172
205,9260,Weather,5,30
206,12065,Security,3,198
207,4133,Air Traffic Control,1,101
208,8859,Weather,5,206
209,5427,Air Traffic Control,1,91
210,4760,Air Traffic Control,1,121
211,3231,Technical,4,18
212,1840,Security,3,160
213,1488,Air Traffic Control,1,133
214,7898,Weather,5,199
215,12773,Air Traffic Control,1,175
216,4212,Technical,4,94
217,10179,Weather,5,18
218,4239,Weather,5,238
219,310,Security,3,236
220,2919,Security,3,188
221,225,Weather,5,214
222,2151,Air Traffic Control,1,101
223,7832,Weather,5,141
224,5608,Airline Operations,2,201
225,5840,Air Traffic Control,1,214
226,9933,Technical,4,203
227,9858,Weather,5,44
228,1912,Air Traffic Control,1,154
229,7076,Technical,4,110
230,8058,Technical,4,141
231,2328,Security,3,126
232,8991,Technical,4,165
233,14755,Air Traffic Control,1,157
234,12569,Airline Operations,2,158
235,11011,Weather,5,237
236,10556,Airline Operations,2,209
237,11400,Technical,4,123
238,12432,Technical,4,144
239,5163,Air Traffic Control,1,191
240,1062,Airline Operations,2,109
241,10326,Weather,5,65
242,12557,Airline Operations,2,148
243,3119,Air Traffic Control,1,229
244,7707,Weather,5,57
245,4584,Weather,5,17
246,9155,Weather,5,219
247,7444,Security,3,188
248,11110,Airline Operations,2,199
249,5703,Weather,5,132
250,2471,Air Traffic Control,1,44
251,12485,Security,3,96
252,1657,Weather,5,125
253,1744,Air Traffic Control,1,215
254,9838,Technical,4,185
255,7935,Security,3,39
256,13317,Weather,5,120
257,3957,Technical,4,31
258,9626,Airline Operations,2,59
259,8996,Security,3,141
260,6929,Air Traffic Control,1,213
261,11467,Air Traffic Control,1,184
262,12930,Weather,5,18
263,12407,Technical,4,30
264,8871,Airline Operations,2,206
265,947,Airline Operations,2,232
266,9782,Weather,5,90
267,12509,Airline Operations,2,117
268,13513,Weather,5,125
269,3588,Security,3,108
270,6278,Air Traffic Control,1,29
271,5531,Technical,4,216
272,9335,Security,3,82
273,7961,Air Traffic Control,1,232
274,9610,Security,3,114
275,3226,Air Traffic Control,1,49
276,14464,Air Traffic Control,1,236
277,812,Security,3,111
278,1134,Airline Operations,2,115
279,1329,Security,3,111
280,11467,Airline Operations,2,184
281,2917,Technical,4,30
282,3023,Technical,4,140
283,5769,Weather,5,211
284,3970,Air Traffic Control,1,17
285,6128,Weather,5,227
286,7668,Weather,5,25
287,7495,Weather,5,189
288,13958,Air Traffic Control,1,76
289,1934,Weather,5,104
290,2185,Technical,4,94
291,50,Weather,5,214
292,8261,Airline Operations,2,231
293,13598,Air Traffic Control,1,52
294,8414,Technical,4,209
295,8354,Security,3,51
296,6170,Security,3,199
297,10143,Air Traffic Control,1,234
298,12761,Airline Operations,2,107
299,14001,Weather,5,114
300,566,Air Traffic Control,1,127
301,4777,Air Traffic Control,1,59
302,6566,Technical,4,122
303,8717,Technical,4,190
304,10434,Air Traffic Control,1,208
305,6481,Security,3,106
306,6835,Air Traffic Control,1,178
307,8487,Technical,4,190
308,4949,Security,3,49
309,4177,Weather,5,122
310,955,Security,3,157
311,1828,Air Traffic Control,1,89
312,12266,Airline Operations,2,83
313,12050,Weather,5,138
314,12092,Weather,5,220
315,10266,Security,3,231
316,3827,Airline Operations,2,60
317,14016,Technical,4,163
318,1551,Security,3,173
319,13816,Technical,4,185
320,13615,Air Traffic Control,1,155
321,13484,Technical,4,98
322,9959,Air Traffic Control,1,102
323,13424,Air Traffic Control,1,61
324,14098,Air Traffic Control,1,31
325,12207,Technical,4,145
326,7688,Technical,4,217
327,11315,Weather,5,162
328,14636,Weather,5,104
329,7772,Air Traffic Control,1,140
330,4416,Air Traffic Control,1,97
331,1473,Technical,4,216
332,10995,Security,3,52
333,3528,Airline Operations,2,106
334,9646,Technical,4,141
335,775,Airline Operations,2,27
336,2294,Technical,4,16
337,5000,Security,3,119
338,8789,Security,3,175
339,6039,Airline Operations,2,45
340,5226,Technical,4,188
341,13214,Weather,5,229
342,7757,Weather,5,84
343,12235,Technical,4,210
344,1017,Airline Operations,2,200
345,11856,Security,3,123
346,11160,Airline Operations,2,84
347,1317,Airline Operations,2,61
348,5711,Security,3,78
349,6665,Weather,5,137
350,1434,Technical,4,219
351,2342,Technical,4,79
352,4116,Airline Operations,2,201
353,3038,Air Traffic Control,1,143
354,614,Weather,5,94
355,12397,Weather,5,185
356,10521,Airline Operations,2,102
357,6282,Security,3,31
358,1212,Security,3,59
359,1912,Airline Operations,2,154
360,14875,Air Traffic Control,1,21
361,5471,Airline Operations,2,34
362,11462,Security,3,119
363,3626,Airline Operations,2,132
364,2308,Weather,5,142
365,6546,Technical,4,200
366,5534,Air Traffic Control,1,18
367,13806,Airline Operations,2,136
368,4171,Security,3,33
369,10266,Weather,5,231
370,5286,Security,3,206
371,7772,Weather,5,140
372,1301,Airline Operations,2,168
373,10599,Security,3,130
374,3743,Technical,4,82
375,10729,Airline Operations,2,87
376,8884,Air Traffic Control,1,72
377,5608,Security,3,201
378,4568,Technical,4,29
379,1928,Technical,4,132
380,1627,Airline Operations,2,37
381,8641,Technical,4,31
382,3748,Airline Operations,2,227
383,4411,Air Traffic Control,1,27
384,9791,Airline Operations,2,26
385,1714,Airline Operations,2,108
386,6448,Airline Operations,2,20
387,13726,Weather,5,239
388,9631,Air Traffic Control,1,199
389,12374,Air Traffic Control,1,194
390,13209,Air Traffic Control,1,178
391,14435,Security,3,101
392,4041,Air Traffic Control,1,170
393,3617,Air Traffic Control,1,85
394,1469,Technical,4,80
395,8927,Technical,4,67
396,12050,Technical,4,138
397,5840,Technical,4,214
398,8343,Air Traffic Control,1,91
399,6753,Air Traffic Control,1,194
400,55,Airline Operations,2,135
401,11322,Security,3,82
402,7112,Weather,5,169
403,5383,Technical,4,219
404,13302,Airline Operations,2,96
405,5286,Airline Operations,2,206
406,8956,Air Traffic Control,1,122
407,5053,Airline Operations,2,191
408,4363,Technical,4,24
409,1989,Weather,5,171
410,5121,Security,3,35
411,11471,Air Traffic Control,1,173
412,6213,Air Traffic Control,1,51
413,764,Air Traffic Control,1,81
414,5073,Security,3,90
415,7213,Airline Operations,2,227
416,5455,Technical,4,183
417,5625,Weather,5,194
418,8029,Weather,5,79
419,12994,Security,3,128
420,12509,Technical,4,117
421,4299,Security,3,79
422,4734,Technical,4,227
423,10364,Security,3,50
424,3831,Air Traffic Control,1,94
425,4729,Technical,4,228
426,3482,Airline Operations,2,96
427,2435,Technical,4,116
428,5040,Air Traffic Control,1,184
429,1657,Security,3,125
430,8954,Security,3,92
431,14255,Technical,4,51
432,7245,Airline Operations,2,192
433,4760,Security,3,121
434,1186,Security,3,16
435,14051,Air Traffic Control,1,158
436,13132,Technical,4,113
437,2882,Security,3,143
438,9657,Air Traffic Control,1,27
439,11142,Airline Operations,2,202
440,10342,Airline Operations,2,214
441,3231,Technical,4,18
442,2233,Airline Operations,2,195
443,3523,Airline Operations,2,117
444,11393,Airline Operations,2,229
445,8296,Security,3,119
446,11578,Technical,4,29
447,2619,Technical,4,128
448,4614,Air Traffic Control,1,116
449,11471,Security,3,173
450,9312,Air Traffic Control,1,82
451,6054,Technical,4,88
452,11937,Air Traffic Control,1,224
453,2098,Technical,4,134
454,552,Technical,4,136
455,12203,Air Traffic Control,1,97
456,14912,Airline Operations,2,196
457,6128,Weather,5,227
458,10589,Airline Operations,2,66
459,2647,Technical,4,107
460,13315,Weather,5,183
461,3194,Air Traffic Control,1,197
462,11853,Security,3,174
463,11943,Technical,4,236
464,12026,Airline Operations,2,161
465,546,Technical,4,192
466,3467,Air Traffic Control,1,137
467,9969,Security,3,239
468,5148,Airline Operations,2,160
469,3892,Technical,4,86
470,2061,Air Traffic Control,1,194
471,10961,Security,3,25
472,9221,Air Traffic Control,1,76
473,8856,Air Traffic Control,1,26
474,139,Technical,4,22
475,1103,Technical,4,230
476,5864,Weather,5,214
477,12094,Technical,4,28
478,14711,Technical,4,168
479,8696,Air Traffic Control,1,98
480,6278,Weather,5,29
481,2240,Technical,4,212
482,621,Weather,5,186
483,8487,Air Traffic Control,1,190
484,9652,Airline Operations,2,189
485,2321,Weather,5,17
486,240,Security,3,173
487,728,Air Traffic Control,1,117
488,3175,Technical,4,216
489,7031,Technical,4,85
490,14085,Airline Operations,2,89
491,4004,Weather,5,201
492,4579,Weather,5,234
493,5761,Security,3,170
494,12765,Technical,4,141
495,8585,Security,3,30
496,7833,Security,3,80
497,13021,Technical,4,81
498,6219,Air Traffic Control,1,164
499,11407,Airline Operations,2,157
500,10282,Air Traffic Control,1,136
501,4930,Technical,4,154
502,955,Airline Operations,2,157
503,10912,Airline Operations,2,80
504,10715,Air Traffic Control,1,84
505,944,Security,3,118
506,14075,Security,3,156
507,9038,Weather,5,47
508,1212,Weather,5,59
509,6435,Technical,4,212
510,7375,Security,3,42
511,1559,Security,3,59
512,4397,Weather,5,104
513,11587,Technical,4,122
514,12407,Technical,4,30
515,185,Weather,5,80
516,2555,Security,3,21
517,3702,Airline Operations,2,228
518,8363,Weather,5,190
519,3920,Weather,5,230
520,1858,Air Traffic Control,1,126
521,13253,Weather,5,57
522,10373,Airline Operations,2,122
523,11226,Weather,5,183
524,11426,Air Traffic Control,1,77
525,7363,Security,3,132
526,10700,Weather,5,202
527,14746,Airline Operations,2,57
528,7381,Airline Operations,2,128
529,362,Weather,5,137
530,4496,Security,3,215
531,12334,Air Traffic Control,1,176
532,4362,Airline Operations,2,56
533,10787,Airline Operations,2,151
534,4992,Technical,4,108
535,2726,Weather,5,149
536,9542,Air Traffic Control,1,53
537,4363,Airline Operations,2,24
538,3431,Technical,4,171
539,14435,Air Traffic Control,1,101
540,7095,Security,3,191
541,4366,Airline Operations,2,71
542,1009,Airline Operations,2,44
543,8409,Air Traffic Control,1,204
544,12845,Airline Operations,2,104
545,13313,Air Traffic Control,1,159
546,5367,Weather,5,137
547,10347,Weather,5,118
548,9753,Airline Operations,2,103
549,14056,Technical,4,195
550,2891,Security,3,101
551,11,Technical,4,169
552,13269,Weather,5,57
553,2719,Weather,5,44
554,1925,Air Traffic Control,1,104
555,11663,Technical,4,172
556,8717,Air Traffic Control,1,190
557,5392,Weather,5,35
558,13817,Technical,4,148
559,5140,Technical,4,55
560,12592,Technical,4,158
561,14776,Weather,5,64
562,11526,Technical,4,102
563,6154,Security,3,67
564,11024,Technical,4,30
565,12141,Technical,4,96
566,9515,Airline Operations,2,58
567,2589,Weather,5,21
568,5414,Airline Operations,2,197
569,2978,Air Traffic Control,1,79
570,9753,Security,3,103
571,1256,Weather,5,91
572,9307,Air Traffic Control,1,15
573,12844,Air Traffic Control,1,229
574,3651,Technical,4,225
575,10791,Security,3,211
576,8871,Weather,5,206
577,6546,Airline Operations,2,200
578,8643,Airline Operations,2,89
579,2962,Security,3,28
580,4668,Weather,5,138
581,6029,Security,3,161
582,9114,Security,3,193
583,10078,Airline Operations,2,185
584,9626,Security,3,59
585,11526,Air Traffic Control,1,102
586,1744,Weather,5,215
587,3676,Technical,4,157
588,11875,Technical,4,143
589,10843,Technical,4,112
590,8774,Weather,5,132
591,12360,Weather,5,171
592,8471,Air Traffic Control,1,62
593,402,Security,3,157
594,14438,Security,3,208
595,10125,Air Traffic Control,1,60
596,13308,Air Traffic Control,1,30
597,13021,Air Traffic Control,1,81
598,10625,Airline Operations,2,157
599,504,Weather,5,107
600,13517,Weather,5,42
601,12384,Air Traffic Control,1,117
602,10552,Airline Operations,2,164
603,1926,Airline Operations,2,65
604,14059,Security,3,121
605,728,Weather,5,117
606,2308,Security,3,142
607,8409,Security,3,204
608,8904,Security,3,60
609,2619,Airline Operations,2,128
610,8699,Technical,4,225
611,10729,Security,3,87
612,7539,Air Traffic Control,1,81
613,12763,Weather,5,71
614,10696,Security,3,68
615,11065,Technical,4,162
616,4372,Airline Operations,2,56
617,9870,Weather,5,147
618,1535,Airline Operations,2,198
619,9455,Technical,4,38
620,4775,Airline Operations,2,29
621,11016,Security,3,60
622,13806,Technical,4,136
623,10846,Air Traffic Control,1,159
624,13871,Technical,4,101
625,4937,Technical,4,137
626,7092,Technical,4,125
627,686,Security,3,19
628,13066,Technical,4,140
629,1925,Air Traffic Control,1,104
630,6601,Air Traffic Control,1,116
631,8898,Weather,5,70
632,4990,Technical,4,76
633,12235,Security,3,210
634,3676,Air Traffic Control,1,157
635,10214,Security,3,98
636,10108,Technical,4,232
637,3765,Weather,5,42
638,2294,Air Traffic Control,1,16
639,917,Air Traffic Control,1,48
640,12091,Airline Operations,2,195
641,6213,Security,3,51
642,276,Technical,4,31
643,1692,Airline Operations,2,217
644,8639,Security,3,223
645,13877,Weather,5,210
646,8322,Weather,5,27
647,12271,Airline Operations,2,236
648,9219,Air Traffic Control,1,159
649,9981,Security,3,16
650,3145,Technical,4,44
651,1881,Weather,5,79
652,7430,Technical,4,210
653,5328,Air Traffic Control,1,56
654,7018,Airline Operations,2,86
655,4264,Technical,4,105
656,9360,Security,3,126
657,6133,Air Traffic Control,1,24
658,4994,Air Traffic Control,1,178
659,13925,Airline Operations,2,181
660,8417,Security,3,69
661,8878,Air Traffic Control,1,55
662,24,Airline Operations,2,214
663,10553,Security,3,40
664,748,Airline Operations,2,18
665,11030,Security,3,112
666,9462,Technical,4,145
667,3231,Technical,4,18
668,14746,Technical,4,57
669,10797,Air Traffic Control,1,167
670,10552,Airline Operations,2,164
671,4979,Airline Operations,2,70
672,5746,Technical,4,209
673,2981,Air Traffic Control,1,228
674,13434,Airline Operations,2,89
675,14186,Security,3,38
676,3382,Weather,5,114
677,1985,Airline Operations,2,22
678,1629,Weather,5,33
679,13781,Airline Operations,2,44
680,5998,Technical,4,94
681,12769,Security,3,105
682,379,Technical,4,112
683,8643,Technical,4,89
684,3048,Security,3,111
685,4576,Weather,5,107
686,8836,Technical,4,229
687,12230,Weather,5,65
688,3404,Air Traffic Control,1,170
689,4112,Air Traffic Control,1,238
690,10668,Air Traffic Control,1,56
691,14464,Air Traffic Control,1,236
692,7633,Technical,4,169
693,2917,Airline Operations,2,30
694,13770,Security,3,127
695,12021,Technical,4,31
696,12728,Weather,5,96
697,13914,Security,3,213
698,2986,Airline Operations,2,61
699,6796,Technical,4,61
700,401,Security,3,155
701,10206,Airline Operations,2,131
702,210,Airline Operations,2,134
703,2783,Weather,5,21
704,2647,Air Traffic Control,1,107
705,7637,Airline Operations,2,175
706,4093,Airline Operations,2,223
707,4842,Weather,5,224
708,5392,Weather,5,35
709,11297,Airline Operations,2,122
710,13513,Air Traffic Control,1,125
711,6989,Airline Operations,2,151
712,8813,Air Traffic Control,1,19
713,13958,Weather,5,76
714,10757,Technical,4,155
715,7624,Security,3,15
716,11038,Technical,4,224
717,1542,Air Traffic Control,1,55
718,4116,Security,3,201
719,4004,Security,3,201
720,10471,Technical,4,179
721,7937,Technical,4,119
722,7357,Weather,5,151
723,9364,Technical,4,78
724,9360,Technical,4,126
725,5134,Security,3,181
726,10326,Airline Operations,2,65
727,13816,Airline Operations,2,185
728,5613,Weather,5,164
729,4037,Airline Operations,2,234
730,11061,Technical,4,49
731,8638,Technical,4,22
732,4228,Airline Operations,2,35
733,11329,Air Traffic Control,1,90
734,14046,Security,3,71
735,3167,Technical,4,38
736,12421,Weather,5,237
737,11405,Security,3,209
738,1595,Security,3,53
739,7358,Technical,4,81
740,6835,Air Traffic Control,1,178
741,6471,Air Traffic Control,1,141
742,14499,Air Traffic Control,1,174
743,9184,Security,3,186
744,7888,Weather,5,112
745,1391,Weather,5,19
746,13048,Air Traffic Control,1,145
747,10787,Airline Operations,2,151
748,6481,Airline Operations,2,106
749,10599,Security,3,130
750,1482,Air Traffic Control,1,108
751,10130,Weather,5,93
752,6623,Technical,4,239
753,5434,Security,3,32
754,8909,Technical,4,166
755,9981,Weather,5,16
756,13434,Security,3,89
757,14595,Technical,4,131
758,5231,Air Traffic Control,1,230
759,2845,Weather,5,199
760,13108,Air Traffic Control,1,84
761,13727,Security,3,119
762,3137,Technical,4,197
763,13162,Airline Operations,2,46
764,5140,Weather,5,55
765,5163,Security,3,191
766,7717,Air Traffic Control,1,145
767,3467,Security,3,137
768,2972,Airline Operations,2,114
769,6610,Airline Operations,2,183
770,1763,Air Traffic Control,1,35
771,8471,Technical,4,62
772,10598,Airline Operations,2,104
773,7582,Technical,4,103
774,7784,Weather,5,191
775,8749,Technical,4,76
776,5209,Security,3,73
777,12930,Weather,5,18
778,2166,Air Traffic Control,1,141
779,2744,Airline Operations,2,86
780,7920,Airline Operations,2,96
781,8548,Security,3,166
782,12397,Technical,4,185
783,9364,Technical,4,78
784,4328,Air Traffic Control,1,45
785,1695,Weather,5,172
786,13214,Technical,4,229
787,3535,Technical,4,29
788,8576,Weather,5,235
789,10042,Weather,5,118
790,5245,Air Traffic Control,1,103
791,4491,Technical,4,159
792,5840,Security,3,214
793,9356,Air Traffic Control,1,197
794,14438,Security,3,208
795,336,Airline Operations,2,98
796,5360,Technical,4,162
797,4413,Air Traffic Control,1,92
798,12207,Security,3,145
799,4540,Air Traffic Control,1,63
800,10206,Technical,4,131
801,4041,Weather,5,170
802,6718,Airline Operations,2,131
803,11943,Weather,5,236
804,12287,Technical,4,17
805,6430,Weather,5,60
806,5864,Security,3,214
807,3137,Technical,4,197
808,633,Air Traffic Control,1,84
809,2963,Technical,4,129
810,5746,Security,3,209
811,13000,Technical,4,219
812,3168,Weather,5,206
813,10370,Weather,5,124
814,13089,Airline Operations,2,97
815,5779,Weather,5,212
816,10018,Technical,4,32
817,12261,Security,3,150
818,1227,Weather,5,225
819,3491,Technical,4,198
820,13111,Weather,5,32
821,4059,Air Traffic Control,1,70
822,6471,Security,3,141
823,13965,Security,3,96
824,6272,Technical,4,156
825,11016,Air Traffic Control,1,60
826,1792,Airline Operations,2,77
827,11334,Security,3,18
828,5370,Security,3,76
829,1296,Weather,5,235
830,11767,Security,3,161
831,7145,Technical,4,166
832,7029,Security,3,116
833,2849,Security,3,227
834,4096,Airline Operations,2,147
835,7624,Weather,5,15
836,546,Weather,5,192
837,3947,Weather,5,20
838,2200,Technical,4,78
839,8487,Technical,4,190
840,8203,Airline Operations,2,40
841,2686,Security,3,208
842,12057,Security,3,174
843,10577,Air Traffic Control,1,154
844,6741,Security,3,80
845,638,Weather,5,35
846,2290,Security,3,203
847,5840,Security,3,214
848,12290,Security,3,146
849,13827,Weather,5,142
850,12026,Security,3,161
851,6585,Weather,5,189
852,6465,Weather,5,57
853,6845,Airline Operations,2,176
854,13205,Air Traffic Control,1,59
855,9467,Security,3,188
856,9510,Airline Operations,2,63
857,7513,Security,3,163
858,4584,Airline Operations,2,17
859,12324,Weather,5,20
860,11379,Airline Operations,2,38
861,621,Security,3,186
862,11866,Security,3,157
863,6230,Air Traffic Control,1,224
864,4059,Airline Operations,2,70
865,1435,Security,3,207
866,6334,Weather,5,193
867,13306,Weather,5,160
868,9318,Technical,4,128
869,1579,Security,3,166
870,9297,Air Traffic Control,1,239
871,5392,Air Traffic Control,1,35
872,11956,Weather,5,117
873,12238,Airline Operations,2,131
874,8296,Security,3,119
875,11897,Weather,5,178
876,2464,Weather,5,126
877,10604,Security,3,178
878,12930,Technical,4,18
879,844,Air Traffic Control,1,33
880,1579,Air Traffic Control,1,166
881,6827,Security,3,234
882,10161,Air Traffic Control,1,85
883,4089,Technical,4,78
884,7392,Weather,5,119
885,14075,Airline Operations,2,156
886,569,Air Traffic Control,1,124
887,10246,Technical,4,112
888,12717,Technical,4,196
889,1599,Technical,4,36
890,10206,Air Traffic Control,1,131
891,9094,Airline Operations,2,47
892,8293,Air Traffic Control,1,106
893,721,Airline Operations,2,183
894,7031,Air Traffic Control,1,85
895,3326,Weather,5,160
896,6877,Airline Operations,2,190
897,12292,Weather,5,176
898,4958,Airline Operations,2,92
899,1881,Security,3,79
900,1690,Airline Operations,2,113
901,13169,Technical,4,119
902,1232,Security,3,160
903,1849,Technical,4,219
904,13189,Air Traffic Control,1,135
905,2446,Technical,4,129
906,7883,Air Traffic Control,1,64
907,6741,Airline Operations,2,80
908,7746,Weather,5,103
909,8699,Air Traffic Control,1,225
910,1715,Technical,4,133
911,7221,Weather,5,141
912,2435,Airline Operations,2,116
913,8491,Security,3,135
914,1212,Weather,5,59
915,3226,Technical,4,49
916,7928,Airline Operations,2,154
917,11410,Airline Operations,2,88
918,13406,Technical,4,114
919,2602,Weather,5,204
920,5148,Security,3,160
921,3748,Air Traffic Control,1,227
922,7333,Airline Operations,2,196
923,7954,Air Traffic Control,1,111
924,9209,Airline Operations,2,153
925,6219,Air Traffic Control,1,164
926,12110,Air Traffic Control,1,20
927,2732,Security,3,201
928,9763,Technical,4,86
929,14573,Air Traffic Control,1,166
930,1849,Weather,5,219
931,798,Security,3,156
932,11329,Weather,5,90
933,8208,Airline Operations,2,155
934,12736,Technical,4,222
935,917,Technical,4,48
936,14869,Technical,4,79
937,9396,Weather,5,100
938,5219,Air Traffic Control,1,115
939,12910,Technical,4,237
940,8488,Security,3,197
941,7356,Weather,5,93
942,11382,Technical,4,128
943,4119,Airline Operations,2,53
944,13927,Air Traffic Control,1,93
945,614,Technical,4,94
946,2910,Airline Operations,2,97
947,6494,Security,3,84
948,6610,Security,3,183
949,5711,Airline Operations,2,78
950,1725,Technical,4,77
951,14199,Air Traffic Control,1,117
952,11405,Air Traffic Control,1,209
953,6621,Technical,4,55
954,11540,Security,3,63
955,3155,Air Traffic Control,1,159
956,9610,Security,3,114
957,12674,Airline Operations,2,86
958,10378,Technical,4,167
959,1387,Technical,4,215
960,9900,Technical,4,235
961,1150,Air Traffic Control,1,223
962,640,Technical,4,48
963,8766,Weather,5,91
964,428,Security,3,231
965,9200,Air Traffic Control,1,227
966,14133,Airline Operations,2,134
967,8898,Security,3,70
968,10926,Air Traffic Control,1,49
969,5124,Weather,5,221
970,12180,Air Traffic Control,1,218
971,14199,Air Traffic Control,1,117
